,Recorder,Date,Time,Path
192,G03,2018/05/14,8:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_084800.wav
193,G03,2018/05/14,9:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_090400.wav
194,G03,2018/05/14,9:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_092000.wav
195,G03,2018/05/14,9:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_093600.wav
196,G03,2018/05/14,9:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_095200.wav
197,G03,2018/05/14,10:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_100800.wav
198,G03,2018/05/14,10:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_102400.wav
199,G03,2018/05/14,10:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_104000.wav
200,G03,2018/05/14,10:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_105600.wav
201,G03,2018/05/14,11:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_111200.wav
202,G03,2018/05/14,11:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_112800.wav
203,G03,2018/05/14,11:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_114400.wav
204,G03,2018/05/14,12:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_120000.wav
205,G03,2018/05/14,12:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_121600.wav
206,G03,2018/05/14,12:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_123200.wav
207,G03,2018/05/14,12:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_124800.wav
208,G03,2018/05/14,13:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_130400.wav
209,G03,2018/05/14,13:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_132000.wav
210,G03,2018/05/14,13:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_133600.wav
211,G03,2018/05/14,13:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_135200.wav
212,G03,2018/05/14,14:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_140800.wav
213,G03,2018/05/14,14:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_142400.wav
214,G03,2018/05/14,14:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_144000.wav
215,G03,2018/05/14,14:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_145600.wav
216,G03,2018/05/14,15:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_151200.wav
217,G03,2018/05/14,15:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_152800.wav
218,G03,2018/05/14,15:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_154400.wav
219,G03,2018/05/14,16:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_160000.wav
220,G03,2018/05/14,16:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_161600.wav
221,G03,2018/05/14,16:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_163200.wav
222,G03,2018/05/14,16:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_164800.wav
223,G03,2018/05/14,20:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_200000.wav
224,G03,2018/05/14,20:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_201600.wav
225,G03,2018/05/14,20:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_203200.wav
226,G03,2018/05/14,20:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_204800.wav
227,G03,2018/05/14,21:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_210400.wav
228,G03,2018/05/14,21:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_212000.wav
229,G03,2018/05/14,21:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_213600.wav
230,G03,2018/05/14,21:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_215200.wav
231,G03,2018/05/14,22:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_220800.wav
232,G03,2018/05/14,22:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_222400.wav
233,G03,2018/05/14,22:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_224000.wav
234,G03,2018/05/14,22:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_225600.wav
235,G03,2018/05/14,23:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_231200.wav
236,G03,2018/05/14,23:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_232800.wav
237,G03,2018/05/14,23:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180514_234400.wav
238,G03,2018/05/15,0:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180515_000000.wav
239,G03,2018/05/15,0:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180515_001600.wav
240,G03,2018/05/15,0:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180515_003200.wav
241,G03,2018/05/15,0:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180515_004800.wav
242,G03,2018/05/15,1:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180515_010400.wav
243,G03,2018/05/15,1:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180515_012000.wav
